severity,package,version,advisory,fixed_in,summary,url
,core-rest-pipeline,1.23.0,MAL-2022-2197,,Malicious code in core-rest-pipeline (npm),https://osv.dev/MAL-2022-2197
,core-tracing,1.3.1,MAL-2022-2198,,Malicious code in core-tracing (npm),https://osv.dev/MAL-2022-2198
,coverage-v8,1.6.1,MAL-2025-5833,,Malicious code in coverage-v8 (npm),https://osv.dev/MAL-2025-5833
HIGH,fast-uri,3.1.0,GHSA-7p8r-x3mc-p8w7,2.4.4 | 3.1.5 | 4.1.2,fast-uri vulnerable to host confusion via backslash authority introducer,https://osv.dev/GHSA-7p8r-x3mc-p8w7
,format-text,1.0.2,MAL-2025-20789,,Malicious code in format-text (npm),https://osv.dev/MAL-2025-20789
,gen-mapping,0.3.13,MAL-2022-3326,,Malicious code in gen-mapping (npm),https://osv.dev/MAL-2022-3326
,helper-validator-identifier,7.28.5,MAL-2025-47885,,Malicious code in helper-validator-identifier (npm),https://osv.dev/MAL-2025-47885
,helper-validator-identifier,7.29.7,MAL-2025-47885,,Malicious code in helper-validator-identifier (npm),https://osv.dev/MAL-2025-47885
HIGH,js-yaml,4.1.1,GHSA-5p4m-2wfm-xmqj,4.3.1 | 3.15.1,JS-YAML: Quadratic CPU consumption in !!omap resolution (3.x and 4.x) — CVE-2026-59870 fix not backported,https://osv.dev/GHSA-5p4m-2wfm-xmqj
,msal-node,3.8.9,MAL-2022-4721,,Malicious code in msal-node (npm),https://osv.dev/MAL-2022-4721
HIGH,nanoid,3.3.11,GHSA-28wg-ghj8-5hjv,3.3.16 | 5.1.16,nanoid: non-secure generators can loop indefinitely with negative size,https://osv.dev/GHSA-28wg-ghj8-5hjv
HIGH,nanoid,3.3.11,GHSA-2v37-7h3g-55p8,3.3.18 | 5.1.6,nanoid: custom generators can loop indefinitely when size is zero,https://osv.dev/GHSA-2v37-7h3g-55p8
MODERATE,postcss,8.5.6,GHSA-fxqj-rqcc-2cmp,8.5.23,PostCSS: incomplete fix of GHSA-6g55-p6wh-862q — attacker-controlled sourceMappingURL reads arbitrary .map files when `from` is unset,https://osv.dev/GHSA-fxqj-rqcc-2cmp
MODERATE,postcss,8.5.8,GHSA-fxqj-rqcc-2cmp,8.5.23,PostCSS: incomplete fix of GHSA-6g55-p6wh-862q — attacker-controlled sourceMappingURL reads arbitrary .map files when `from` is unset,https://osv.dev/GHSA-fxqj-rqcc-2cmp
,rollup-linux-riscv64-gnu,4.53.3,MAL-2025-5987,,Malicious code in rollup-linux-riscv64-gnu (npm),https://osv.dev/MAL-2025-5987
,rollup-linux-riscv64-gnu,4.59.0,MAL-2025-5987,,Malicious code in rollup-linux-riscv64-gnu (npm),https://osv.dev/MAL-2025-5987
,style-format,1.0.1,MAL-2025-34115,,Malicious code in style-format (npm),https://osv.dev/MAL-2025-34115
HIGH,undici,7.24.4,GHSA-4cwx-7wf7-3272,7.29.0 | 8.9.0,undici vulnerable to cross-user information disclosure and parse-time crash via degenerate private cache directives,https://osv.dev/GHSA-4cwx-7wf7-3272
MODERATE,undici,7.24.4,GHSA-8xcm-r25x-g524,6.28.0 | 7.29.0 | 8.9.0,undici vulnerable to downstream response desynchronization via retry interceptor,https://osv.dev/GHSA-8xcm-r25x-g524
MODERATE,undici,7.24.4,GHSA-jr45-8vmc-qm54,7.29.0 | 8.9.0,undici vulnerable to cross-user information disclosure via whitespace around equals in Cache-Control directives,https://osv.dev/GHSA-jr45-8vmc-qm54
MODERATE,undici,7.24.4,GHSA-m8rv-5g2x-5cg5,6.28.0 | 7.29.0 | 8.9.0,undici vulnerable to CRLF Injection via blob-like body 'type' property,https://osv.dev/GHSA-m8rv-5g2x-5cg5
MODERATE,undici,7.24.4,GHSA-v3r7-h72x-cjcm,6.28.0 | 7.29.0 | 8.9.0,undici vulnerable to cookie attribute injection via unsanitized domain and unparsed setCookie fields,https://osv.dev/GHSA-v3r7-h72x-cjcm
HIGH,brace-expansion,1.1.12,GHSA-rgw5-rvv9-x895,1.1.18 | 2.1.4 | 3.0.6 | 5.0.9,"brace-expansion: DoS via unbounded intermediate arrays, bypassing the CVE-2026-14257 mitigation",https://osv.dev/GHSA-rgw5-rvv9-x895
HIGH,brace-expansion,2.0.2,GHSA-rgw5-rvv9-x895,1.1.18 | 2.1.4 | 3.0.6 | 5.0.9,"brace-expansion: DoS via unbounded intermediate arrays, bypassing the CVE-2026-14257 mitigation",https://osv.dev/GHSA-rgw5-rvv9-x895
HIGH,brace-expansion,5.0.4,GHSA-rgw5-rvv9-x895,1.1.18 | 2.1.4 | 3.0.6 | 5.0.9,"brace-expansion: DoS via unbounded intermediate arrays, bypassing the CVE-2026-14257 mitigation",https://osv.dev/GHSA-rgw5-rvv9-x895
,core-auth,1.10.1,MAL-2022-2190,,Malicious code in core-auth (npm),https://osv.dev/MAL-2022-2190
,core-rest-pipeline,1.23.0,MAL-2022-2197,,Malicious code in core-rest-pipeline (npm),https://osv.dev/MAL-2022-2197
,core-tracing,1.3.1,MAL-2022-2198,,Malicious code in core-tracing (npm),https://osv.dev/MAL-2022-2198
,coverage-v8,1.6.1,MAL-2025-5833,,Malicious code in coverage-v8 (npm),https://osv.dev/MAL-2025-5833
HIGH,fast-uri,3.1.0,GHSA-7p8r-x3mc-p8w7,2.4.4 | 3.1.5 | 4.1.2,fast-uri vulnerable to host confusion via backslash authority introducer,https://osv.dev/GHSA-7p8r-x3mc-p8w7
,format-text,1.0.2,MAL-2025-20789,,Malicious code in format-text (npm),https://osv.dev/MAL-2025-20789
,gen-mapping,0.3.13,MAL-2022-3326,,Malicious code in gen-mapping (npm),https://osv.dev/MAL-2022-3326
,helper-validator-identifier,7.28.5,MAL-2025-47885,,Malicious code in helper-validator-identifier (npm),https://osv.dev/MAL-2025-47885
,helper-validator-identifier,7.29.7,MAL-2025-47885,,Malicious code in helper-validator-identifier (npm),https://osv.dev/MAL-2025-47885
HIGH,js-yaml,4.1.1,GHSA-5p4m-2wfm-xmqj,4.3.1 | 3.15.1,JS-YAML: Quadratic CPU consumption in !!omap resolution (3.x and 4.x) — CVE-2026-59870 fix not backported,https://osv.dev/GHSA-5p4m-2wfm-xmqj
,msal-node,3.8.9,MAL-2022-4721,,Malicious code in msal-node (npm),https://osv.dev/MAL-2022-4721
HIGH,nanoid,3.3.11,GHSA-28wg-ghj8-5hjv,3.3.16 | 5.1.16,nanoid: non-secure generators can loop indefinitely with negative size,https://osv.dev/GHSA-28wg-ghj8-5hjv
HIGH,nanoid,3.3.11,GHSA-2v37-7h3g-55p8,3.3.18 | 5.1.6,nanoid: custom generators can loop indefinitely when size is zero,https://osv.dev/GHSA-2v37-7h3g-55p8
MODERATE,postcss,8.5.6,GHSA-fxqj-rqcc-2cmp,8.5.23,PostCSS: incomplete fix of GHSA-6g55-p6wh-862q — attacker-controlled sourceMappingURL reads arbitrary .map files when `from` is unset,https://osv.dev/GHSA-fxqj-rqcc-2cmp
MODERATE,postcss,8.5.8,GHSA-fxqj-rqcc-2cmp,8.5.23,PostCSS: incomplete fix of GHSA-6g55-p6wh-862q — attacker-controlled sourceMappingURL reads arbitrary .map files when `from` is unset,https://osv.dev/GHSA-fxqj-rqcc-2cmp
,rollup-linux-riscv64-gnu,4.53.3,MAL-2025-5987,,Malicious code in rollup-linux-riscv64-gnu (npm),https://osv.dev/MAL-2025-5987
,rollup-linux-riscv64-gnu,4.59.0,MAL-2025-5987,,Malicious code in rollup-linux-riscv64-gnu (npm),https://osv.dev/MAL-2025-5987
,style-format,1.0.1,MAL-2025-34115,,Malicious code in style-format (npm),https://osv.dev/MAL-2025-34115
HIGH,undici,7.24.4,GHSA-4cwx-7wf7-3272,7.29.0 | 8.9.0,undici vulnerable to cross-user information disclosure and parse-time crash via degenerate private cache directives,https://osv.dev/GHSA-4cwx-7wf7-3272
MODERATE,undici,7.24.4,GHSA-8xcm-r25x-g524,6.28.0 | 7.29.0 | 8.9.0,undici vulnerable to downstream response desynchronization via retry interceptor,https://osv.dev/GHSA-8xcm-r25x-g524
MODERATE,undici,7.24.4,GHSA-jr45-8vmc-qm54,7.29.0 | 8.9.0,undici vulnerable to cross-user information disclosure via whitespace around equals in Cache-Control directives,https://osv.dev/GHSA-jr45-8vmc-qm54
MODERATE,undici,7.24.4,GHSA-m8rv-5g2x-5cg5,6.28.0 | 7.29.0 | 8.9.0,undici vulnerable to CRLF Injection via blob-like body 'type' property,https://osv.dev/GHSA-m8rv-5g2x-5cg5
MODERATE,undici,7.24.4,GHSA-v3r7-h72x-cjcm,6.28.0 | 7.29.0 | 8.9.0,undici vulnerable to cookie attribute injection via unsanitized domain and unparsed setCookie fields,https://osv.dev/GHSA-v3r7-h72x-cjcm
HIGH,brace-expansion,1.1.12,GHSA-rgw5-rvv9-x895,1.1.18 | 2.1.4 | 3.0.6 | 5.0.9,"brace-expansion: DoS via unbounded intermediate arrays, bypassing the CVE-2026-14257 mitigation",https://osv.dev/GHSA-rgw5-rvv9-x895
HIGH,brace-expansion,2.0.2,GHSA-rgw5-rvv9-x895,1.1.18 | 2.1.4 | 3.0.6 | 5.0.9,"brace-expansion: DoS via unbounded intermediate arrays, bypassing the CVE-2026-14257 mitigation",https://osv.dev/GHSA-rgw5-rvv9-x895
HIGH,brace-expansion,5.0.4,GHSA-rgw5-rvv9-x895,1.1.18 | 2.1.4 | 3.0.6 | 5.0.9,"brace-expansion: DoS via unbounded intermediate arrays, bypassing the CVE-2026-14257 mitigation",https://osv.dev/GHSA-rgw5-rvv9-x895
,core-auth,1.10.1,MAL-2022-2190,,Malicious code in core-auth (npm),https://osv.dev/MAL-2022-2190
,core-rest-pipeline,1.23.0,MAL-2022-2197,,Malicious code in core-rest-pipeline (npm),https://osv.dev/MAL-2022-2197
,core-tracing,1.3.1,MAL-2022-2198,,Malicious code in core-tracing (npm),https://osv.dev/MAL-2022-2198
,coverage-v8,1.6.1,MAL-2025-5833,,Malicious code in coverage-v8 (npm),https://osv.dev/MAL-2025-5833
HIGH,fast-uri,3.1.0,GHSA-7p8r-x3mc-p8w7,2.4.4 | 3.1.5 | 4.1.2,fast-uri vulnerable to host confusion via backslash authority introducer,https://osv.dev/GHSA-7p8r-x3mc-p8w7
,format-text,1.0.2,MAL-2025-20789,,Malicious code in format-text (npm),https://osv.dev/MAL-2025-20789
,gen-mapping,0.3.13,MAL-2022-3326,,Malicious code in gen-mapping (npm),https://osv.dev/MAL-2022-3326
,helper-validator-identifier,7.28.5,MAL-2025-47885,,Malicious code in helper-validator-identifier (npm),https://osv.dev/MAL-2025-47885
,helper-validator-identifier,7.29.7,MAL-2025-47885,,Malicious code in helper-validator-identifier (npm),https://osv.dev/MAL-2025-47885
HIGH,js-yaml,4.1.1,GHSA-5p4m-2wfm-xmqj,4.3.1 | 3.15.1,JS-YAML: Quadratic CPU consumption in !!omap resolution (3.x and 4.x) — CVE-2026-59870 fix not backported,https://osv.dev/GHSA-5p4m-2wfm-xmqj
,msal-node,3.8.9,MAL-2022-4721,,Malicious code in msal-node (npm),https://osv.dev/MAL-2022-4721
HIGH,nanoid,3.3.11,GHSA-28wg-ghj8-5hjv,3.3.16 | 5.1.16,nanoid: non-secure generators can loop indefinitely with negative size,https://osv.dev/GHSA-28wg-ghj8-5hjv
HIGH,nanoid,3.3.11,GHSA-2v37-7h3g-55p8,3.3.18 | 5.1.6,nanoid: custom generators can loop indefinitely when size is zero,https://osv.dev/GHSA-2v37-7h3g-55p8
MODERATE,postcss,8.5.6,GHSA-fxqj-rqcc-2cmp,8.5.23,PostCSS: incomplete fix of GHSA-6g55-p6wh-862q — attacker-controlled sourceMappingURL reads arbitrary .map files when `from` is unset,https://osv.dev/GHSA-fxqj-rqcc-2cmp
MODERATE,postcss,8.5.8,GHSA-fxqj-rqcc-2cmp,8.5.23,PostCSS: incomplete fix of GHSA-6g55-p6wh-862q — attacker-controlled sourceMappingURL reads arbitrary .map files when `from` is unset,https://osv.dev/GHSA-fxqj-rqcc-2cmp
,rollup-linux-riscv64-gnu,4.53.3,MAL-2025-5987,,Malicious code in rollup-linux-riscv64-gnu (npm),https://osv.dev/MAL-2025-5987
,rollup-linux-riscv64-gnu,4.59.0,MAL-2025-5987,,Malicious code in rollup-linux-riscv64-gnu (npm),https://osv.dev/MAL-2025-5987
,style-format,1.0.1,MAL-2025-34115,,Malicious code in style-format (npm),https://osv.dev/MAL-2025-34115
HIGH,undici,7.24.4,GHSA-4cwx-7wf7-3272,7.29.0 | 8.9.0,undici vulnerable to cross-user information disclosure and parse-time crash via degenerate private cache directives,https://osv.dev/GHSA-4cwx-7wf7-3272
MODERATE,undici,7.24.4,GHSA-8xcm-r25x-g524,6.28.0 | 7.29.0 | 8.9.0,undici vulnerable to downstream response desynchronization via retry interceptor,https://osv.dev/GHSA-8xcm-r25x-g524
MODERATE,undici,7.24.4,GHSA-jr45-8vmc-qm54,7.29.0 | 8.9.0,undici vulnerable to cross-user information disclosure via whitespace around equals in Cache-Control directives,https://osv.dev/GHSA-jr45-8vmc-qm54
MODERATE,undici,7.24.4,GHSA-m8rv-5g2x-5cg5,6.28.0 | 7.29.0 | 8.9.0,undici vulnerable to CRLF Injection via blob-like body 'type' property,https://osv.dev/GHSA-m8rv-5g2x-5cg5
MODERATE,undici,7.24.4,GHSA-v3r7-h72x-cjcm,6.28.0 | 7.29.0 | 8.9.0,undici vulnerable to cookie attribute injection via unsanitized domain and unparsed setCookie fields,https://osv.dev/GHSA-v3r7-h72x-cjcm
HIGH,brace-expansion,1.1.12,GHSA-rgw5-rvv9-x895,1.1.18 | 2.1.4 | 3.0.6 | 5.0.9,"brace-expansion: DoS via unbounded intermediate arrays, bypassing the CVE-2026-14257 mitigation",https://osv.dev/GHSA-rgw5-rvv9-x895
HIGH,brace-expansion,2.0.2,GHSA-rgw5-rvv9-x895,1.1.18 | 2.1.4 | 3.0.6 | 5.0.9,"brace-expansion: DoS via unbounded intermediate arrays, bypassing the CVE-2026-14257 mitigation",https://osv.dev/GHSA-rgw5-rvv9-x895
HIGH,brace-expansion,5.0.4,GHSA-rgw5-rvv9-x895,1.1.18 | 2.1.4 | 3.0.6 | 5.0.9,"brace-expansion: DoS via unbounded intermediate arrays, bypassing the CVE-2026-14257 mitigation",https://osv.dev/GHSA-rgw5-rvv9-x895
,core-auth,1.10.1,MAL-2022-2190,,Malicious code in core-auth (npm),https://osv.dev/MAL-2022-2190
,core-rest-pipeline,1.23.0,MAL-2022-2197,,Malicious code in core-rest-pipeline (npm),https://osv.dev/MAL-2022-2197
,core-tracing,1.3.1,MAL-2022-2198,,Malicious code in core-tracing (npm),https://osv.dev/MAL-2022-2198
,coverage-v8,1.6.1,MAL-2025-5833,,Malicious code in coverage-v8 (npm),https://osv.dev/MAL-2025-5833
HIGH,fast-uri,3.1.0,GHSA-7p8r-x3mc-p8w7,2.4.4 | 3.1.5 | 4.1.2,fast-uri vulnerable to host confusion via backslash authority introducer,https://osv.dev/GHSA-7p8r-x3mc-p8w7
,format-text,1.0.2,MAL-2025-20789,,Malicious code in format-text (npm),https://osv.dev/MAL-2025-20789
,gen-mapping,0.3.13,MAL-2022-3326,,Malicious code in gen-mapping (npm),https://osv.dev/MAL-2022-3326
,helper-validator-identifier,7.28.5,MAL-2025-47885,,Malicious code in helper-validator-identifier (npm),https://osv.dev/MAL-2025-47885
,helper-validator-identifier,7.29.7,MAL-2025-47885,,Malicious code in helper-validator-identifier (npm),https://osv.dev/MAL-2025-47885
HIGH,js-yaml,4.1.1,GHSA-5p4m-2wfm-xmqj,4.3.1 | 3.15.1,JS-YAML: Quadratic CPU consumption in !!omap resolution (3.x and 4.x) — CVE-2026-59870 fix not backported,https://osv.dev/GHSA-5p4m-2wfm-xmqj
,msal-node,3.8.9,MAL-2022-4721,,Malicious code in msal-node (npm),https://osv.dev/MAL-2022-4721
HIGH,nanoid,3.3.11,GHSA-28wg-ghj8-5hjv,3.3.16 | 5.1.16,nanoid: non-secure generators can loop indefinitely with negative size,https://osv.dev/GHSA-28wg-ghj8-5hjv
HIGH,nanoid,3.3.11,GHSA-2v37-7h3g-55p8,3.3.18 | 5.1.6,nanoid: custom generators can loop indefinitely when size is zero,https://osv.dev/GHSA-2v37-7h3g-55p8
MODERATE,postcss,8.5.6,GHSA-fxqj-rqcc-2cmp,8.5.23,PostCSS: incomplete fix of GHSA-6g55-p6wh-862q — attacker-controlled sourceMappingURL reads arbitrary .map files when `from` is unset,https://osv.dev/GHSA-fxqj-rqcc-2cmp
MODERATE,postcss,8.5.8,GHSA-fxqj-rqcc-2cmp,8.5.23,PostCSS: incomplete fix of GHSA-6g55-p6wh-862q — attacker-controlled sourceMappingURL reads arbitrary .map files when `from` is unset,https://osv.dev/GHSA-fxqj-rqcc-2cmp
,rollup-linux-riscv64-gnu,4.53.3,MAL-2025-5987,,Malicious code in rollup-linux-riscv64-gnu (npm),https://osv.dev/MAL-2025-5987
,rollup-linux-riscv64-gnu,4.59.0,MAL-2025-5987,,Malicious code in rollup-linux-riscv64-gnu (npm),https://osv.dev/MAL-2025-5987
,style-format,1.0.1,MAL-2025-34115,,Malicious code in style-format (npm),https://osv.dev/MAL-2025-34115
HIGH,undici,7.24.4,GHSA-4cwx-7wf7-3272,7.29.0 | 8.9.0,undici vulnerable to cross-user information disclosure and parse-time crash via degenerate private cache directives,https://osv.dev/GHSA-4cwx-7wf7-3272
MODERATE,undici,7.24.4,GHSA-8xcm-r25x-g524,6.28.0 | 7.29.0 | 8.9.0,undici vulnerable to downstream response desynchronization via retry interceptor,https://osv.dev/GHSA-8xcm-r25x-g524
MODERATE,undici,7.24.4,GHSA-jr45-8vmc-qm54,7.29.0 | 8.9.0,undici vulnerable to cross-user information disclosure via whitespace around equals in Cache-Control directives,https://osv.dev/GHSA-jr45-8vmc-qm54
MODERATE,undici,7.24.4,GHSA-m8rv-5g2x-5cg5,6.28.0 | 7.29.0 | 8.9.0,undici vulnerable to CRLF Injection via blob-like body 'type' property,https://osv.dev/GHSA-m8rv-5g2x-5cg5
MODERATE,undici,7.24.4,GHSA-v3r7-h72x-cjcm,6.28.0 | 7.29.0 | 8.9.0,undici vulnerable to cookie attribute injection via unsanitized domain and unparsed setCookie fields,https://osv.dev/GHSA-v3r7-h72x-cjcm
HIGH,brace-expansion,1.1.12,GHSA-rgw5-rvv9-x895,1.1.18 | 2.1.4 | 3.0.6 | 5.0.9,"brace-expansion: DoS via unbounded intermediate arrays, bypassing the CVE-2026-14257 mitigation",https://osv.dev/GHSA-rgw5-rvv9-x895
HIGH,brace-expansion,2.0.2,GHSA-rgw5-rvv9-x895,1.1.18 | 2.1.4 | 3.0.6 | 5.0.9,"brace-expansion: DoS via unbounded intermediate arrays, bypassing the CVE-2026-14257 mitigation",https://osv.dev/GHSA-rgw5-rvv9-x895
HIGH,brace-expansion,5.0.4,GHSA-rgw5-rvv9-x895,1.1.18 | 2.1.4 | 3.0.6 | 5.0.9,"brace-expansion: DoS via unbounded intermediate arrays, bypassing the CVE-2026-14257 mitigation",https://osv.dev/GHSA-rgw5-rvv9-x895
,core-auth,1.10.1,MAL-2022-2190,,Malicious code in core-auth (npm),https://osv.dev/MAL-2022-2190
,core-rest-pipeline,1.23.0,MAL-2022-2197,,Malicious code in core-rest-pipeline (npm),https://osv.dev/MAL-2022-2197
,core-tracing,1.3.1,MAL-2022-2198,,Malicious code in core-tracing (npm),https://osv.dev/MAL-2022-2198
,coverage-v8,1.6.1,MAL-2025-5833,,Malicious code in coverage-v8 (npm),https://osv.dev/MAL-2025-5833
HIGH,fast-uri,3.1.0,GHSA-7p8r-x3mc-p8w7,2.4.4 | 3.1.5 | 4.1.2,fast-uri vulnerable to host confusion via backslash authority introducer,https://osv.dev/GHSA-7p8r-x3mc-p8w7
,format-text,1.0.2,MAL-2025-20789,,Malicious code in format-text (npm),https://osv.dev/MAL-2025-20789
,gen-mapping,0.3.13,MAL-2022-3326,,Malicious code in gen-mapping (npm),https://osv.dev/MAL-2022-3326
,helper-validator-identifier,7.28.5,MAL-2025-47885,,Malicious code in helper-validator-identifier (npm),https://osv.dev/MAL-2025-47885
,helper-validator-identifier,7.29.7,MAL-2025-47885,,Malicious code in helper-validator-identifier (npm),https://osv.dev/MAL-2025-47885
HIGH,js-yaml,4.1.1,GHSA-5p4m-2wfm-xmqj,4.3.1 | 3.15.1,JS-YAML: Quadratic CPU consumption in !!omap resolution (3.x and 4.x) — CVE-2026-59870 fix not backported,https://osv.dev/GHSA-5p4m-2wfm-xmqj
,msal-node,3.8.9,MAL-2022-4721,,Malicious code in msal-node (npm),https://osv.dev/MAL-2022-4721
HIGH,nanoid,3.3.11,GHSA-28wg-ghj8-5hjv,3.3.16 | 5.1.16,nanoid: non-secure generators can loop indefinitely with negative size,https://osv.dev/GHSA-28wg-ghj8-5hjv
HIGH,nanoid,3.3.11,GHSA-2v37-7h3g-55p8,3.3.18 | 5.1.6,nanoid: custom generators can loop indefinitely when size is zero,https://osv.dev/GHSA-2v37-7h3g-55p8
MODERATE,postcss,8.5.6,GHSA-fxqj-rqcc-2cmp,8.5.23,PostCSS: incomplete fix of GHSA-6g55-p6wh-862q — attacker-controlled sourceMappingURL reads arbitrary .map files when `from` is unset,https://osv.dev/GHSA-fxqj-rqcc-2cmp
MODERATE,postcss,8.5.8,GHSA-fxqj-rqcc-2cmp,8.5.23,PostCSS: incomplete fix of GHSA-6g55-p6wh-862q — attacker-controlled sourceMappingURL reads arbitrary .map files when `from` is unset,https://osv.dev/GHSA-fxqj-rqcc-2cmp
,rollup-linux-riscv64-gnu,4.53.3,MAL-2025-5987,,Malicious code in rollup-linux-riscv64-gnu (npm),https://osv.dev/MAL-2025-5987
,rollup-linux-riscv64-gnu,4.59.0,MAL-2025-5987,,Malicious code in rollup-linux-riscv64-gnu (npm),https://osv.dev/MAL-2025-5987
,style-format,1.0.1,MAL-2025-34115,,Malicious code in style-format (npm),https://osv.dev/MAL-2025-34115
HIGH,undici,7.24.4,GHSA-4cwx-7wf7-3272,7.29.0 | 8.9.0,undici vulnerable to cross-user information disclosure and parse-time crash via degenerate private cache directives,https://osv.dev/GHSA-4cwx-7wf7-3272
MODERATE,undici,7.24.4,GHSA-8xcm-r25x-g524,6.28.0 | 7.29.0 | 8.9.0,undici vulnerable to downstream response desynchronization via retry interceptor,https://osv.dev/GHSA-8xcm-r25x-g524
MODERATE,undici,7.24.4,GHSA-jr45-8vmc-qm54,7.29.0 | 8.9.0,undici vulnerable to cross-user information disclosure via whitespace around equals in Cache-Control directives,https://osv.dev/GHSA-jr45-8vmc-qm54
MODERATE,undici,7.24.4,GHSA-m8rv-5g2x-5cg5,6.28.0 | 7.29.0 | 8.9.0,undici vulnerable to CRLF Injection via blob-like body 'type' property,https://osv.dev/GHSA-m8rv-5g2x-5cg5
MODERATE,undici,7.24.4,GHSA-v3r7-h72x-cjcm,6.28.0 | 7.29.0 | 8.9.0,undici vulnerable to cookie attribute injection via unsanitized domain and unparsed setCookie fields,https://osv.dev/GHSA-v3r7-h72x-cjcm
HIGH,brace-expansion,1.1.12,GHSA-rgw5-rvv9-x895,1.1.18 | 2.1.4 | 3.0.6 | 5.0.9,"brace-expansion: DoS via unbounded intermediate arrays, bypassing the CVE-2026-14257 mitigation",https://osv.dev/GHSA-rgw5-rvv9-x895
HIGH,brace-expansion,2.0.2,GHSA-rgw5-rvv9-x895,1.1.18 | 2.1.4 | 3.0.6 | 5.0.9,"brace-expansion: DoS via unbounded intermediate arrays, bypassing the CVE-2026-14257 mitigation",https://osv.dev/GHSA-rgw5-rvv9-x895
HIGH,brace-expansion,5.0.4,GHSA-rgw5-rvv9-x895,1.1.18 | 2.1.4 | 3.0.6 | 5.0.9,"brace-expansion: DoS via unbounded intermediate arrays, bypassing the CVE-2026-14257 mitigation",https://osv.dev/GHSA-rgw5-rvv9-x895
,core-auth,1.10.1,MAL-2022-2190,,Malicious code in core-auth (npm),https://osv.dev/MAL-2022-2190
,core-rest-pipeline,1.23.0,MAL-2022-2197,,Malicious code in core-rest-pipeline (npm),https://osv.dev/MAL-2022-2197
,core-tracing,1.3.1,MAL-2022-2198,,Malicious code in core-tracing (npm),https://osv.dev/MAL-2022-2198
,coverage-v8,1.6.1,MAL-2025-5833,,Malicious code in coverage-v8 (npm),https://osv.dev/MAL-2025-5833
HIGH,fast-uri,3.1.0,GHSA-7p8r-x3mc-p8w7,2.4.4 | 3.1.5 | 4.1.2,fast-uri vulnerable to host confusion via backslash authority introducer,https://osv.dev/GHSA-7p8r-x3mc-p8w7
,format-text,1.0.2,MAL-2025-20789,,Malicious code in format-text (npm),https://osv.dev/MAL-2025-20789
,gen-mapping,0.3.13,MAL-2022-3326,,Malicious code in gen-mapping (npm),https://osv.dev/MAL-2022-3326
,helper-validator-identifier,7.28.5,MAL-2025-47885,,Malicious code in helper-validator-identifier (npm),https://osv.dev/MAL-2025-47885
,helper-validator-identifier,7.29.7,MAL-2025-47885,,Malicious code in helper-validator-identifier (npm),https://osv.dev/MAL-2025-47885
HIGH,js-yaml,4.1.1,GHSA-5p4m-2wfm-xmqj,4.3.1 | 3.15.1,JS-YAML: Quadratic CPU consumption in !!omap resolution (3.x and 4.x) — CVE-2026-59870 fix not backported,https://osv.dev/GHSA-5p4m-2wfm-xmqj
,msal-node,3.8.9,MAL-2022-4721,,Malicious code in msal-node (npm),https://osv.dev/MAL-2022-4721
